Alert ID,Ticker,Name,Description,Time
5021593482,"ALCHEMY:DJ30.R, 1m","Brutus Playbook Alerts (0300-1200, First touch, 2, 0.35, 1.2): Any alert() function call","{""strategy"":""brutus_playbook_v1"",""playbookVersion"":""raw-parity-v10"",""rawSignal"":true,""decisionEvent"":""first_touch"",""previousAction"":"""",""rawLongSignal"":false,""rawShortSignal"":true,""rawLongCondition"":false,""rawShortCondition"":true,""newLongTouch"":false,""newShortTouch"":true,""signalConflict"":false,""signalDirection"":""short"",""mode"":""first_touch"",""confirmed"":false,""modeReady"":true,""inSession"":false,""minutesIntoBar"":0.5785166667,""notTooEarly"":false,""longSnapback"":false,""shortSnapback"":true,""longPushThrough"":false,""shortPushThrough"":false,""symbol"":""ALCHEMY:DJ30.R"",""timeframe"":""1"",""action"":""SKIP"",""plainAction"":""SKIP. No trade."",""direction"":""short"",""time"":1782700740000,""timestamp"":1782700740000,""candleTime"":1782700740000,""alertTime"":1782700774711,""open"":52115.25,""high"":52122.25,""low"":52114.25,""close"":52114.25,""upper"":52121.0592774657,""lower"":52083.7399232954,""bandWidth"":37.3193541703,""touchDepth"":1.1907225343,""touchDepthRatio"":0.0319063007,""entry"":52121.0592774657,""stop"":52134.1210514253,""target"":52105.3851487142,""length"":9,""upperSource"":""high"",""lowerSource"":""low"",""stdDev"":2,""reason"":""Original Brutus signal fired outside the active session.""}",2026-06-29T02:39:33Z
5021621718,"ALCHEMY:US500.R, 1m","Brutus Playbook Alerts (9, high, low, 2, 0300-1200, 2, 0.35, 1.2): Any alert() function call","{""strategy"":""brutus_playbook_v1"",""symbol"":""ALCHEMY:US500.R"",""timeframe"":""1"",""action"":""DO_NOT_HOLD"",""plainAction"":""DO NOT HOLD: price is pushing through the band."",""direction"":""short"",""time"":1782700740000,""alertTime"":1782700743320,""open"":7396.6,""high"":7398.6,""low"":7396.59,""close"":7398.6,""upper"":7397.983961852,""lower"":7392.2151626629,""entry"":7397.983961852,""stop"":7400.0030415682,""target"":7395.5610661926,""reason"":""Price is still pushing through the band.""}",2026-06-29T02:39:03Z
5021593482,"ALCHEMY:DJ30.R, 1m","Brutus Playbook Alerts (0300-1200, First touch, 2, 0.35, 1.2): Any alert() function call","{""strategy"":""brutus_playbook_v1"",""playbookVersion"":""raw-parity-v10"",""rawSignal"":true,""decisionEvent"":""first_touch"",""previousAction"":"""",""rawLongSignal"":false,""rawShortSignal"":true,""rawLongCondition"":false,""rawShortCondition"":true,""newLongTouch"":false,""newShortTouch"":true,""signalConflict"":false,""signalDirection"":""short"",""mode"":""first_touch"",""confirmed"":false,""modeReady"":true,""inSession"":false,""minutesIntoBar"":0.9950333333,""notTooEarly"":false,""longSnapback"":true,""shortSnapback"":false,""longPushThrough"":false,""shortPushThrough"":false,""symbol"":""ALCHEMY:DJ30.R"",""timeframe"":""1"",""action"":""SKIP"",""plainAction"":""SKIP. No trade."",""direction"":""short"",""time"":1782700680000,""timestamp"":1782700680000,""candleTime"":1782700680000,""alertTime"":1782700739703,""open"":52104.25,""high"":52114.25,""low"":52104.25,""close"":52114.25,""upper"":52113.6794745079,""lower"":52083.4507700105,""bandWidth"":30.2287044974,""touchDepth"":0.5705254921,""touchDepthRatio"":0.0188736336,""entry"":52113.6794745079,""stop"":52124.2595210819,""target"":52100.983418619,""length"":9,""upperSource"":""high"",""lowerSource"":""low"",""stdDev"":2,""reason"":""Original Brutus signal fired outside the active session.""}",2026-06-29T02:38:59Z
5021621718,"ALCHEMY:US500.R, 1m","Brutus Playbook Alerts (9, high, low, 2, 0300-1200, 2, 0.35, 1.2): Any alert() function call","{""strategy"":""brutus_playbook_v1"",""symbol"":""ALCHEMY:US500.R"",""timeframe"":""1"",""action"":""DO_NOT_HOLD"",""plainAction"":""DO NOT HOLD: price is pushing through the band."",""direction"":""short"",""time"":1782700680000,""alertTime"":1782700739299,""open"":7394.59,""high"":7396.35,""low"":7394.34,""close"":7396.35,""upper"":7396.1276559066,""lower"":7392.677213142,""entry"":7396.1276559066,""stop"":7397.3353108743,""target"":7394.6784699455,""reason"":""Price is still pushing through the band.""}",2026-06-29T02:38:58Z
5021606394,"ALCHEMY:JPN225.R, 1m","Brutus Playbook Alerts (9, high, low, 2, 0300-1200, 2, 0.35, 1.2): Any alert() function call","{""strategy"":""brutus_playbook_v1"",""symbol"":""ALCHEMY:JPN225.R"",""timeframe"":""1"",""action"":""DO_NOT_HOLD"",""plainAction"":""DO NOT HOLD: price is pushing through the band."",""direction"":""short"",""time"":1782700680000,""alertTime"":1782700699791,""open"":68975.5,""high"":69000.5,""low"":68970.5,""close"":69000.5,""upper"":68994.3910141542,""lower"":68906.3959771361,""entry"":68994.3910141542,""stop"":69025.1892771106,""target"":68957.4330986066,""reason"":""Price is still pushing through the band.""}",2026-06-29T02:38:19Z
5021593482,"ALCHEMY:DJ30.R, 1m","Brutus Playbook Alerts (0300-1200, First touch, 2, 0.35, 1.2): Any alert() function call","{""strategy"":""brutus_playbook_v1"",""playbookVersion"":""raw-parity-v10"",""rawSignal"":true,""decisionEvent"":""first_touch"",""previousAction"":"""",""rawLongSignal"":true,""rawShortSignal"":false,""rawLongCondition"":true,""rawShortCondition"":false,""newLongTouch"":true,""newShortTouch"":false,""signalConflict"":false,""signalDirection"":""long"",""mode"":""first_touch"",""confirmed"":false,""modeReady"":true,""inSession"":false,""minutesIntoBar"":0.5450333333,""notTooEarly"":false,""longSnapback"":false,""shortSnapback"":true,""longPushThrough"":false,""shortPushThrough"":false,""symbol"":""ALCHEMY:DJ30.R"",""timeframe"":""1"",""action"":""SKIP"",""plainAction"":""SKIP. No trade."",""direction"":""long"",""time"":1782699240000,""timestamp"":1782699240000,""candleTime"":1782699240000,""alertTime"":1782699272702,""open"":52028.25,""high"":52030.25,""low"":52019.25,""close"":52019.25,""upper"":52068.4696103639,""lower"":52019.3049685159,""bandWidth"":49.164641848,""touchDepth"":0.0549685159,""touchDepthRatio"":0.0011180498,""entry"":52019.3049685159,""stop"":52002.0973438691,""target"":52039.9541180921,""length"":9,""upperSource"":""high"",""lowerSource"":""low"",""stdDev"":2,""reason"":""Original Brutus signal fired outside the active session.""}",2026-06-29T02:14:32Z
5021593534,"ALCHEMY:DJ30.R, 5m","Brutus Playbook Alerts (9, high, low, 2, 0300-1200, 2, 0.35, 1.2): Any alert() function call","{""strategy"":""brutus_playbook_v1"",""symbol"":""ALCHEMY:DJ30.R"",""timeframe"":""5"",""action"":""DO_NOT_HOLD"",""plainAction"":""DO NOT HOLD: price is pushing through the band."",""direction"":""long"",""time"":1782695700000,""alertTime"":1782695895241,""open"":52083.25,""high"":52089.25,""low"":52037.25,""close"":52037.25,""upper"":52139.41976118,""lower"":52042.2032322746,""entry"":52042.2032322746,""stop"":52008.1774471577,""target"":52083.0341744149,""reason"":""Price is still pushing through the band.""}",2026-06-29T01:18:15Z
5021621718,"ALCHEMY:US500.R, 1m","Brutus Playbook Alerts (9, high, low, 2, 0300-1200, 2, 0.35, 1.2): Any alert() function call","{""strategy"":""brutus_playbook_v1"",""symbol"":""ALCHEMY:US500.R"",""timeframe"":""1"",""action"":""DO_NOT_HOLD"",""plainAction"":""DO NOT HOLD: price is pushing through the band."",""direction"":""long"",""time"":1782695820000,""alertTime"":1782695880320,""open"":7388.34,""high"":7388.85,""low"":7383.84,""close"":7383.84,""upper"":7393.7743609039,""lower"":7384.3144243622,""entry"":7384.3144243622,""stop"":7381.0034465726,""target"":7388.2875977097,""reason"":""Price is still pushing through the band.""}",2026-06-29T01:17:59Z
5021593482,"ALCHEMY:DJ30.R, 1m","Brutus Playbook Alerts (0300-1200, First touch, 2, 0.35, 1.2): Any alert() function call","{""strategy"":""brutus_playbook_v1"",""playbookVersion"":""raw-parity-v10"",""rawSignal"":true,""decisionEvent"":""decision_change"",""previousAction"":""DO_NOT_HOLD"",""rawLongSignal"":true,""rawShortSignal"":false,""rawLongCondition"":true,""rawShortCondition"":false,""newLongTouch"":false,""newShortTouch"":false,""signalConflict"":false,""signalDirection"":""long"",""mode"":""first_touch"",""confirmed"":false,""modeReady"":true,""inSession"":false,""minutesIntoBar"":0.9950333333,""notTooEarly"":false,""longSnapback"":false,""shortSnapback"":true,""longPushThrough"":false,""shortPushThrough"":false,""symbol"":""ALCHEMY:DJ30.R"",""timeframe"":""1"",""action"":""SKIP"",""plainAction"":""SKIP. No trade."",""direction"":""long"",""time"":1782695760000,""timestamp"":1782695760000,""candleTime"":1782695760000,""alertTime"":1782695819702,""open"":52087.25,""high"":52087.25,""low"":52065.25,""close"":52068.25,""upper"":52095.4357159435,""lower"":52067.081641015,""bandWidth"":28.3540749285,""touchDepth"":1.831641015,""touchDepthRatio"":0.0645988635,""entry"":52067.081641015,""stop"":52057.15771479,""target"":52078.990352485,""length"":9,""upperSource"":""high"",""lowerSource"":""low"",""stdDev"":2,""reason"":""Original Brutus signal fired outside the active session.""}",2026-06-29T01:16:59Z
5021593482,"ALCHEMY:DJ30.R, 1m","Brutus Playbook Alerts (0300-1200, First touch, 2, 0.35, 1.2): Any alert() function call","{""strategy"":""brutus_playbook_v1"",""playbookVersion"":""raw-parity-v10"",""rawSignal"":true,""decisionEvent"":""decision_change"",""previousAction"":""SKIP"",""rawLongSignal"":true,""rawShortSignal"":false,""rawLongCondition"":true,""rawShortCondition"":false,""newLongTouch"":false,""newShortTouch"":false,""signalConflict"":false,""signalDirection"":""long"",""mode"":""first_touch"",""confirmed"":false,""modeReady"":true,""inSession"":false,""minutesIntoBar"":0.9785166667,""notTooEarly"":false,""longSnapback"":false,""shortSnapback"":true,""longPushThrough"":true,""shortPushThrough"":false,""symbol"":""ALCHEMY:DJ30.R"",""timeframe"":""1"",""action"":""DO_NOT_HOLD"",""plainAction"":""NO TRADE. Do not fight this move."",""direction"":""long"",""time"":1782695760000,""timestamp"":1782695760000,""candleTime"":1782695760000,""alertTime"":1782695818711,""open"":52087.25,""high"":52087.25,""low"":52065.25,""close"":52065.25,""upper"":52095.4357159435,""lower"":52067.081641015,""bandWidth"":28.3540749285,""touchDepth"":1.831641015,""touchDepthRatio"":0.0645988635,""entry"":52067.081641015,""stop"":52057.15771479,""target"":52078.990352485,""length"":9,""upperSource"":""high"",""lowerSource"":""low"",""stdDev"":2,""reason"":""Original Brutus signal fired, but price is still pushing through the band.""}",2026-06-29T01:16:58Z
